INPUT:id_left	INPUT:id_right	INPUT:json_left	INPUT:json_right	OUTPUT:result	OUTPUT:comments	GOLDEN:result	GOLDEN:comments	HINT:text	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
section-2327919	section-2706778	"{""sections"":[{""person"":{""name_raw"":""Бетин Н.Ю."",""role"":""начальник"",""department"":""ФКУ СИЗО-3 УФСИН России по Тамбовской области""},""incomes"":[{""size"":996189}],""real_estates"":[{""square"":52,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2013"",""source"":""disclosures"",""office"":""УФСИН Московская область"",""office_id"":3940}]}"	"{""sections"":[{""person"":{""name_raw"":""Бетин Н.Ю."",""role"":""начальник"",""department"":""ФКУ СИЗО-3 УФСИН России по Тамбовской области""},""incomes"":[{""size"":1146743},{""size"":509931,""relative"":""супруг(а)""}],""real_estates"":[{""square"":2062,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":46,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":2800,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":732533,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":46,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":2800,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2018"",""source"":""disclosures"",""office"":""УФСИН Тамбовская область"",""office_id"":3962}]}"	UNK	в пересечении только УФСИН, это мало, чтобы считать одним человеком				https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cba35eb22f70099c1eb5	0000094339--5fb8cba35eb22f70099c1eb5	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:11:15.645
													
section-418478	section-419538	"{""sections"":[{""person"":{""name_raw"":""Едриванова Е.А."",""role"":""ведущий специалист-эксперт отдела управления земельными ресурсами""},""incomes"":[{""size"":290820},{""size"":1204993,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""автомобиль легковой\n(Тойота LAND CRUISER)\n\nавтоприцеп\n(RYDWAN EVRO/B2600/H2)"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":605,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":42,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":64,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":64,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":605,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":42,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2015"",""source"":""disclosures"",""office"":""Правительство республики Марий Эл"",""office_id"":157}]}"	"{""sections"":[{""person"":{""name_raw"":""Едриванова Е.А."",""role"":""главный специалист-эксперт отдела управления земельными ресурсами""},""incomes"":[{""size"":298362},{""size"":677428,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""легковой автомобиль\nTOYOTA LAND CRUISER\nприцеп RYDWAN EVRO"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":605,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":42,""type_raw"":""дом жилой"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":64,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":64,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":605,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":42,""type_raw"":""дом жилой"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Правительство республики Марий Эл"",""office_id"":157}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cc4c330c242ad33776be	0000094339--5fb8cc4c330c242ad33776be	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:14:04.459
													
section-3174287	section-3161917	"{""sections"":[{""person"":{""name_raw"":""Ангбазов И. К."",""role"":""Заместитель начальника объединения – начальник ЦТАО""},""incomes"":[{""size"":412226},{""size"":78000,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""ВАЗ 21150""}],""real_estates"":[{""square"":40,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":40,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":40,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":40,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2011"",""source"":""disclosures"",""office"":""УФСИН Ивановская область"",""office_id"":3916}]}"	"{""sections"":[{""person"":{""name_raw"":""Ангбазов И.К."",""role"":""заместитель начальника"",""department"":""ФКУ ОИК-11 УФСИН России по Ивановской области""},""incomes"":[{""size"":1028537},{""size"":102000,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""автомобиль легковой Тойота Королла""}],""real_estates"":[{""square"":43,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":43,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":43,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":43,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2014"",""source"":""disclosures"",""office"":""УФСИН Ивановская область"",""office_id"":3916}]}"	YES	11редкая фамилия, двое детей, супруга 				https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cc58330c242ad3377720	0000094339--5fb8cc58330c242ad3377720	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:14:16.948
													
section-3394875	section-3394567	"{""sections"":[{""person"":{""name_raw"":""Мурованная Д. В."",""role"":""Старший государственный инспектор""},""incomes"":[{""size"":475908}],""vehicles"":[{""text"":""а/м Nissan Note \n (индивид)""}],""real_estates"":[{""square"":41,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":31,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2014"",""source"":""disclosures"",""office"":""Дальневосточное управление государственного морского надзора Федеральной службы по надзору в сфере транспорта"",""office_id"":5137}]}"	"{""sections"":[{""person"":{""name_raw"":""Мурованная Д. В."",""role"":""Старший государственный инспектор""},""incomes"":[{""size"":492324}],""real_estates"":[{""square"":41,""type_raw"":""двухкомнатная квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":31,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2015"",""source"":""disclosures"",""office"":""Дальневосточное управление государственного морского надзора Федеральной службы по надзору в сфере транспорта"",""office_id"":5137}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cc91faa09423cde0abc0	0000094339--5fb8cc91faa09423cde0abc0	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:15:13.489
													
section-914005	section-916287	"{""sections"":[{""person"":{""name_raw"":""Разгадаев Игорь Иванович"",""role"":""Главный специалист-эксперт""},""incomes"":[{""relative"":""супруг(а)""}],""real_estates"":[{""square"":35,""type_raw"":""Квартира индивидуальная"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2010"",""source"":""disclosures"",""office"":""УФМС России по г. Санкт-Петербургу и Ленинградской области"",""office_id"":300}]}"	"{""sections"":[{""person"":{""name_raw"":""Разгадаев Игорь Иванович"",""role"":""специалист-эксперт""},""incomes"":[{""relative"":""супруг(а)""}],""real_estates"":[{""square"":35,""type_raw"":""Квартира индивидуальная"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":35,""type_raw"":""квартира в пользовании"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2011"",""source"":""disclosures"",""office"":""УФМС России по г. Санкт-Петербургу и Ленинградской области"",""office_id"":300}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cc9e330c242ad3377aaf	0000094339--5fb8cc9e330c242ad3377aaf	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:15:26.976
													
