INPUT:id_left	INPUT:id_right	INPUT:json_left	INPUT:json_right	GOLDEN:result	HINT:text
section-228214	section-3940496	"{""sections"":[{""person"":{""name_raw"":""Васильева Наталья Георгиевна""},""incomes"":[{""size"":345362}],""real_estates"":[{""square"":10,""type_raw"":""2-х комнатная квартира\n\n (общая долевая собственность 1/4)"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":43,""type_raw"":""2-х комнатная квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2012"",""source"":""disclosures"",""office"":""Новочеркасск - городской округ"",""office_id"":1620,""office_section_count"":998,""office_rubric"":""Муниципалитеты"",""office_region"":""Ростовская область"",""surname_rank"":4}]}"	"{""sections"":[{""person"":{""name_raw"":""Васильева Н.Г."",""role"":""главный специалист-эксперт""},""incomes"":[{""size"":1345933},{""size"":559250,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""автомобиль HYUNDAI GETZ"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":50,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":880,""type_raw"":""дачный земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":30,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":50,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":30,""type_raw"":""дачный дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":880,""type_raw"":""дачный земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":30,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Отделение Пенсионного фонда Российской Федерации Кемеровская область"",""office_id"":5846,""office_section_count"":1402,""office_rubric"":""Остальные"",""office_region"":""Кемеровская область"",""surname_rank"":4}]}"	NO	
section-3541277	section-4206615	"{""sections"":[{""person"":{""name_raw"":""Корюкина И.П."",""role"":""Ректор ГБОУ ВПО «Пермский государственный медицинский университет имени академика Е.А. Вагнера» Минздрава России""},""incomes"":[{""size"":2726611}],""vehicles"":[{""text"":""а/м легковой Toyota Land Cruiser""}],""real_estates"":[{""square"":1200,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":411,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":76,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":135,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":76,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":135,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":76,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":135,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":76,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":135,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Министерство здравоохранения"",""office_id"":596,""office_section_count"":3881,""office_rubric"":""Медицина"",""office_region"":"""",""surname_rank"":8381}]}"	"{""sections"":[{""person"":{""name_raw"":""Корюкина И.П."",""role"":""ректор ФГБОУ ВО «Пермский государственный медицинский университет имени академика Е.А. Вагнера»""},""incomes"":[{""size"":3296188},{""size"":0,""relative"":""ребенок""},{""size"":0,""relative"":""ребенок""}],""vehicles"":[{""text"":""а/м легковой \nToyota Land Cruiser 200""}],""real_estates"":[{""square"":1200,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":411,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":76,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":135,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":82,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":76,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":135,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":76,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":82,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":82,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":135,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2019"",""source"":""disclosures"",""office"":""Министерство здравоохранения"",""office_id"":596,""office_section_count"":3881,""office_rubric"":""Медицина"",""office_region"":"""",""surname_rank"":8381}]}"	YES	
person-1439087	section-2507751	"{""sections"":[{""person"":{""name_raw"":""Беляков Д.Н.""},""incomes"":[{""size"":668055}],""vehicles"":[{""text"":""а/м\nОпель""}],""real_estates"":[{""square"":43,""type_raw"":""квартира (служебный найм)"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2010"",""source"":""disclosures"",""office"":""Министерство обороны"",""office_id"":450,""office_section_count"":351383,""office_rubric"":""Военные"",""office_region"":"""",""surname_rank"":596},{""person"":{""name_raw"":""Беляков Д. Н.""},""incomes"":[{""size"":1270862}],""vehicles"":[{""text"":""а/м легковой Опель""}],""real_estates"":[{""square"":43,""type_raw"":""квартира (договор найма)"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2012"",""source"":""disclosures"",""office"":""Министерство обороны"",""office_id"":450,""office_section_count"":351383,""office_rubric"":""Военные"",""office_region"":"""",""surname_rank"":596}]}"	"{""sections"":[{""person"":{""name_raw"":""Беляков Д.Н."",""role"":""заместитель начальника"",""department"":""ФКУ ИК-50 ГУФСИН России по Кемеровской области""},""incomes"":[{""size"":952189},{""size"":68154,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""автомобиль Тойота allex""}],""real_estates"":[{""square"":91,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":91,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":91,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2017"",""source"":""disclosures"",""office"":""ГУФСИН Пермский край"",""office_id"":3949,""office_section_count"":22532,""office_rubric"":""ФСИН"",""office_region"":""Пермский край"",""surname_rank"":596}]}"	NO	
section-510352	section-3752390	"{""sections"":[{""person"":{""name_raw"":""Федорова Светлана Анатольевна"",""role"":""Заместитель начальника отдела"",""department"":""Отдел правового обеспечения в управлении земельных отношений департамента""},""incomes"":[{""size"":850263},{""size"":1029800,""relative"":""супруг(а)""},{""size"":0,""relative"":""ребенок""}],""vehicles"":[{""text"":""Ford Focus"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":101,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":101,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":60,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":101,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2015"",""source"":""disclosures"",""office"":""Правительство Краснодарского края"",""office_id"":176,""office_section_count"":13558,""office_rubric"":""Исполнительная власть"",""office_region"":""Краснодарский край"",""surname_rank"":7}]}"	"{""sections"":[{""person"":{""name_raw"":""Федорова Светлана Анатольевна"",""role"":""Заместитель начальника отдела"",""department"":""Отдел правового обеспечения в управлении земельных отношений департамента""},""incomes"":[{""size"":859625},{""size"":1396381,""relative"":""супруг(а)""},{""size"":0,""relative"":""ребенок""}],""vehicles"":[{""text"":""Toyota RAV4"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":101,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":54,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":101,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":60,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":54,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":101,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":54,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2017"",""source"":""disclosures"",""office"":""Департамент имущественных отношений Краснодарского края"",""office_id"":7802,""office_section_count"":362,""office_rubric"":""Исполнительная власть"",""office_region"":""Краснодарский край"",""surname_rank"":7}]}"	YES	
section-1206174	section-1858184	"{""sections"":[{""person"":{""name_raw"":""Тарасов Алексей Андреевич"",""role"":""Заместитель начальника отдела экономики, потребительского рынка и услуг""},""incomes"":[{""size"":532301}],""vehicles"":[{""text"":""Шевроле Авео \n \nЛодка \n«Прогресс-2»""}],""real_estates"":[{""square"":44,""type_raw"":""Квартира  (1/2)"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":456,""type_raw"":""Садовый земельный"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""type_raw"":""участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":13,""type_raw"":""Комната"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":44,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":13,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2013"",""source"":""disclosures"",""office"":""Казань - городской округ"",""office_id"":1939,""office_section_count"":3667,""office_rubric"":""Муниципалитеты"",""office_region"":""Республика Татарстан"",""surname_rank"":131}]}"	"{""sections"":[{""person"":{""name_raw"":""Тарасов А.А.""},""incomes"":[{""size"":2005712},{""size"":932284,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""а/м легковой Мицубиси Паджеро""},{""text"":""а/м легковой Мицубиси Паджеро""},{""text"":""а/м легковой Мазда MPV"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":50,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":56,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":82,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":50,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":56,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":33,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2018"",""source"":""disclosures"",""office"":""Министерство обороны"",""office_id"":450,""office_section_count"":351383,""office_rubric"":""Военные"",""office_region"":"""",""surname_rank"":131}]}"	NO	
section-3018561	section-2364629	"{""sections"":[{""person"":{""name_raw"":""Васильев А.В."",""role"":""Ведущий специалист-эксперт (дознаватель) отдела судебных приставов по Усть-Таркскому району Управления ФССП по Новосибирской области""},""incomes"":[{""size"":264261},{""size"":81900,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""А/м — ВАЗ 2112""}],""real_estates"":[{""square"":65,""type_raw"":""Квартира (общая долевая)"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2010"",""source"":""disclosures"",""office"":""Управление Федеральной службы судебных приставов Новосибирская область"",""office_id"":4921,""office_section_count"":2489,""office_rubric"":""Исполнительная власть"",""office_region"":""Новосибирская область"",""surname_rank"":26}]}"	"{""sections"":[{""person"":{""name_raw"":""Васильев А.В."",""role"":""начальник отдела охраны"",""department"":""СВЕДЕНИЯ о доходах, расходах, об имуществе и обязательствах имущественного характера лиц, замещающих должности в ФКУ ИК-9 ГУФСИН России по Нижегородской области,и членов их семей за отчетный период с 1 января 2012 г. по 31 декабря 2012 г.""},""incomes"":[{""size"":439314},{""size"":226533,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""а/м«Рено «Логан»"",""relative"":""супруг(а)""},{""text"":""а/м Митцубиси «Ланцер Х»"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":68,""type_raw"":""квартира (пользование)"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":68,""type_raw"":""квартира (собственность)"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":60,""type_raw"":""дачный дом (собственность)"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":32,""type_raw"":""гараж (собственность)"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":68,""type_raw"":""квартира (пользование)"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2012"",""source"":""disclosures"",""office"":""ГУФСИН Нижегородская область"",""office_id"":3942,""office_section_count"":7364,""office_rubric"":""ФСИН"",""office_region"":""Нижегородская область"",""surname_rank"":26}]}"	NO	
section-4060078	section-3822963	"{""sections"":[{""person"":{""name_raw"":""Сорокин А.А."",""role"":""заместитель начальника управления начальник отдела"",""department"":""Правовое управление Администрации Губернатора Калужской области""},""incomes"":[{""size"":922945},{""size"":3721877,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""легковой автомобиль Шевроле Лачетти""}],""real_estates"":[{""square"":1500,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":64,""type_raw"":""квартира 1/4 доли"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":1500,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":64,""type_raw"":""квартира 1/4 доли"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2012"",""source"":""disclosures"",""office"":""Правительство Калужской области"",""office_id"":216,""office_section_count"":1167,""office_rubric"":""Исполнительная власть"",""office_region"":""Калужская область"",""surname_rank"":132}]}"	"{""sections"":[{""person"":{""name_raw"":""Сорокин А.А."",""role"":""Начальник отдела""},""incomes"":[{""size"":1202521},{""size"":53153,""relative"":""супруг(а)""}],""real_estates"":[{""square"":32,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":32,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":32,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2017"",""source"":""disclosures"",""office"":""Центральное таможенное управление"",""office_id"":5510,""office_section_count"":14845,""office_rubric"":""Исполнительная власть"",""office_region"":"""",""surname_rank"":132}]}"	NO	
section-3758348	section-3139988	"{""sections"":[{""person"":{""name_raw"":""Смирнов С.В."",""role"":""начальник отдела""},""incomes"":[{""size"":1105569},{""size"":3075737,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""легковой автомобиль \""Nissan X-trail columbia premium\""""}],""real_estates"":[{""square"":400,""type_raw"":""садовый участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":58,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":58,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":400,""type_raw"":""садовый участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2014"",""source"":""disclosures"",""office"":""Сибирское таможенное управление"",""office_id"":5505,""office_section_count"":10699,""office_rubric"":""Исполнительная власть"",""office_region"":"""",""surname_rank"":21}]}"	"{""sections"":[{""person"":{""name_raw"":""Смирнов С.В."",""role"":""заместитель начальника"",""department"":""ФКУ ЛИУ-8 УФСИН России по Тверской области""},""incomes"":[{""size"":970415},{""size"":283437,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""автомобиль легковой ВАЗ21214""},{""text"":""автомобиль легковой Фольксваген Шаран""},{""text"":""автомобиль легковой Шевроле Клан"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":1097,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":1719,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":70,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":1097,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":1719,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":70,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":1097,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":1719,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":70,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":1097,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":48,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":1719,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":70,""type_raw"":""жилой дом"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""УФСИН Республика Дагестан"",""office_id"":3913,""office_section_count"":15082,""office_rubric"":""ФСИН"",""office_region"":""Республика Дагестан"",""surname_rank"":21}]}"	NO	
section-1768594	section-1412375	"{""sections"":[{""person"":{""name_raw"":""Зайцев С.А.""},""incomes"":[{""size"":756751},{""size"":164119,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""а/м ВАЗ""}],""real_estates"":[{""square"":637,""type_raw"":""жилой дом\n(общая долевая)"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":27,""type_raw"":""общежитие\n(договор соц. найма)"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":637,""type_raw"":""жилой дом\n(общая долевая)"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2010"",""source"":""disclosures"",""office"":""Министерство обороны"",""office_id"":450,""office_section_count"":351383,""office_rubric"":""Военные"",""office_region"":"""",""surname_rank"":67}]}"	"{""sections"":[{""person"":{""name_raw"":""Зайцев С.А.""},""incomes"":[{""size"":1157202}],""vehicles"":[{""text"":""а/м легковой Тойота Лэнд Крузер""}],""real_estates"":[{""square"":50,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":50,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":50,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Министерство обороны"",""office_id"":450,""office_section_count"":351383,""office_rubric"":""Военные"",""office_region"":"""",""surname_rank"":67}]}"	NO	
section-1101312	person-144740	"{""sections"":[{""person"":{""name_raw"":""Фролов Александр Владимирович""},""incomes"":[{""size"":802536}],""vehicles"":[{""text"":""Уаз 315140 1988 г.в.""}],""real_estates"":[{""square"":66,""type_raw"":""Жилое помещение"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""type_raw"":""Не имею"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":1,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":2,""type_raw"":""- Доля в праве 1/1"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":3,""type_raw"":""- Доля в праве 1/11 - Доля в праве 1/11"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""type_raw"":""Не имею"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2015"",""source"":""disclosures"",""office"":""Гагинский район"",""office_id"":1905,""office_section_count"":982,""office_rubric"":""Муниципалитеты"",""office_region"":""Нижегородская область"",""surname_rank"":143}]}"	"{""sections"":[{""person"":{""name_raw"":""Фролов А.В.""},""incomes"":[{""size"":1348751},{""size"":396000,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""а/м легковой Хендэ Солярис"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":33,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":74,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""дача"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":33,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":74,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""дача"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":74,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":74,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2017"",""source"":""disclosures"",""office"":""Министерство обороны"",""office_id"":450,""office_section_count"":351383,""office_rubric"":""Военные"",""office_region"":"""",""surname_rank"":143},{""person"":{""name_raw"":""Фролов А.В.""},""incomes"":[{""size"":1205915},{""size"":480000,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""а/м легковой Хендэ solaris"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":33,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""дача"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":33,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""дача"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":24,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2015"",""source"":""disclosures"",""office"":""Министерство обороны"",""office_id"":450,""office_section_count"":351383,""office_rubric"":""Военные"",""office_region"":"""",""surname_rank"":143}]}"	NO	
