1,Законодательное собрание Санкт-Петербурга,78256,1625,101415,2838,95909,3667,120003,4711,81976,8173,115615,5554,109449,4620,114854,5630,132987,4119,68,69,209,3.15
2,Санкт-Петербургская избирательная комиссия,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72524,2156,-1,-1,75062,1640,10,3,-12,4.7
3,Центральная избирательная комиссия,-1,-1,-1,-1,71143,1651,74754,1782,72641,1955,83333,1898,158141,75,86024,2113,-1,-1,27,20,38,1.61
4,Министерство внутренних дел,28104,19168,31118,22621,61806,13601,109422,7055,-1,-1,126811,3059,129044,3516,131700,3593,-1,-1,58,368,54,4.96
5,Совет Федерации,-1,-1,161079,227,231714,124,325291,40,390583,54,386508,73,386934,68,400425,48,311732,10,51,93,-6,3.1
7,Федеральная миграционная служба,71879,451,77301,399,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,7,1,0.71
8,Прокуратуры субъектов,81641,3387,83962,3754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,2,8,0.36
10,Прокуратура Республики Алтай,100683,14,110275,14,100795,3656,145185,3297,132131,3293,129010,3370,132353,3244,140769,3061,167819,2835,68,66,309,2.28
12,Глава республики Адыгея,30957,138442,35283,175885,44614,172455,60931,125608,62627,113435,67939,109410,65118,134136,69739,136487,77881,122257,68,151,129,1.64
14,Государственная Дума,181463,7,166808,5,255675,5,329319,310,44177,3140,220288,703,388537,7,400304,185,181019,88,68,0,120,2.15
15,Accounts chamber,41666,18520,48026,23167,48629,40897,56246,32028,59299,29288,64161,30650,69754,28826,75785,26939,83333,25148,68,100,155,3.07
18,Прокуратура Брянской области,75058,39,75609,40,92935,40,131071,38,115572,38,111598,39,115256,39,125312,36,154747,38,68,106,105,2.02
19,Прокуратура Владимирской области,80060,23,79984,22,84644,22,82655,22,124668,45,114062,20,116075,24,127659,22,158302,22,68,97,97,2.2
20,Прокуратура Алтайского края,59936,177,62656,174,84547,176,112215,173,92602,182,92088,179,81507,102,108930,175,128504,169,68,114,112,1.86
21,Прокуратура Амурской области,-1,-1,109168,27,133946,27,182688,29,170953,31,172391,29,161550,29,182292,32,219558,27,51,101,101,2.66
22,Прокуратура Архангельской области,-1,-1,-1,-1,152379,27,203488,25,183792,29,189320,27,188276,30,204751,29,251962,29,35,65,66,3.15
23,Прокуратура Астраханской области,70533,21,68280,22,93647,23,129727,23,122463,22,118023,22,124092,20,130931,22,-1,-1,58,85,87,1.78
24,Прокуратура Республики Башкортостан,61451,186,62534,192,82772,191,100405,192,100737,162,96992,167,96686,167,101124,172,134288,170,68,118,114,2.01
25,Прокуратура Республики Бурятия,98638,28,98976,29,133852,26,181045,31,164254,31,167359,27,175540,25,178947,28,229595,27,68,132,132,2.19
26,Прокуратура Волгоградской области,59333,36,67668,45,102882,1,120347,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,102,115,2.38
27,Прокуратура Вологодской области,86192,30,77925,26,107915,31,152773,29,133236,31,126457,28,124729,29,-1,-1,-1,-1,52,44,42,1.64
28,Прокуратура Воронежской области,62442,46,62718,48,89899,48,115058,47,104439,53,106647,44,120143,47,120280,44,145713,44,68,133,130,1.82
29,Прокуратура Забайкальского края,-1,-1,101022,39,126669,38,181553,37,158298,38,169514,40,170115,38,180099,35,-1,-1,42,78,73,2.03
30,Прокуратура Иркутской области,86274,183,94204,177,142714,52,185014,86,169435,51,173671,53,178097,46,-1,-1,-1,-1,52,106,54,1.07
