12,Глава республики Адыгея,30957,138442,35283,175885,44614,172455,60931,125608,62627,113435,67939,109410,65118,134136,69739,136487,77881,122257,68,151,129,1.64
90,Глава республики Калмыкия,80205,1,-1,-1,-1,-1,78490,27,75251,38,75916,37,58264,81,66639,71,81082,40,26,3,31,1.7
96,Губернатор Рязанской области,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71170,114,70463,114,82963,139,10,16,28,3.95
97,Губернатор Свердловской области,-1,-1,-1,-1,136702,52,165997,68,-1,-1,277802,1,-1,-1,-1,-1,-1,-1,6,21,27,0.17
99,Губернатор Кировской области,27975,236,31054,279,23111,434,50368,161,49032,99,49495,106,176822,1,184208,1,223961,1,48,76,-1,1.0
102,Губернатор Красноярского края,-1,-1,95095,8,45739,107,59423,49,84111,31,58157,112,51294,137,73751,130,-1,-1,42,-22,132,2.46
117,Глава республики Башкортостан,-1,-1,63915,51,109713,17,130604,68,128389,75,134670,69,151176,72,164960,67,191781,78,51,200,270,2.37
130,Глава республики Татарстан,-1,-1,-1,-1,-1,-1,84937,108,97261,109,102682,109,107737,108,-1,-1,-1,-1,14,26,26,0.93
131,Глава республики Тыва,-1,-1,-1,-1,300011,1,146645,39,136399,38,340447,1,-1,-1,355858,1,121536,3,10,-6,-7,1.05
136,Губернатор Алтайского края,91407,36,-1,-1,-1,-1,124580,34,-1,-1,75747,56,244589,15,-1,-1,270196,15,68,195,112,1.67
138,Губернатор Камчатского края,-1,-1,415634,1,-1,-1,145304,28,159856,27,181866,57,143320,26,176301,23,166666,41,26,14,72,1.37
142,Губернатор Хабаровского края,-1,-1,-1,-1,-1,-1,223732,22,-1,-1,238903,30,287373,15,294711,6,347420,5,19,31,3,1.16
146,Правительство Кабардино-Балкарской республики,38883,120,46715,162,45505,204,32282,156,33875,213,37109,112,-1,-1,36241,50,41262,60,68,6,-39,1.65
147,Правительство Карачаево-Черкесской республики,28432,128,41101,208,44369,162,47929,156,46038,136,49457,155,48472,101,54201,187,55163,131,68,94,95,1.02
148,Кабинет министров республики Адыгея,65835,11,40154,223,51308,116,59865,136,56636,170,54877,224,64316,143,69676,135,99168,102,68,50,205,1.5
149,Правительство Республики Алтай,41441,58,56800,74,53891,61,62880,79,81803,56,75252,60,74751,59,73193,62,80076,63,68,93,98,0.96
150,Правительство республики Башкортостан,193322,31,95079,249,120525,88,127719,46,137609,46,121590,43,133296,52,175364,45,151434,51,68,-21,-1,1.61
