15,Accounts chamber,41666,18520,48026,23167,48629,40897,56246,32028,59299,29288,64161,30650,69754,28826,75785,26939,83333,25148,68,100,155,3.07
446,Федеральная антимонопольная служба,50516,820,52878,1017,72411,367,77146,365,82313,445,103935,444,108525,449,115168,464,129045,459,68,155,92,1.63
449,Президент Российской Федерации,306975,49,350218,38,380196,6,350874,5,-1,-1,-1,-1,397256,5,-1,-1,-1,-1,23,23,-4,2.32
461,Федеральная служба судебных приставов,72747,184,83466,207,117542,245,145617,63,117518,69,114252,74,138567,65,192678,54,203711,57,68,180,73,2.46
463,Федеральная служба по тарифам ,-1,-1,-1,-1,107551,84,146871,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,36,30,2.32
470,Федеральная налоговая служба,-1,-1,205547,11,166666,41,166666,39,-1,-1,375734,3,250073,98,268112,142,282669,146,51,37,94,3.0
471,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,51358,78,85939,89,102621,176,111358,149,118560,300,118967,326,110071,159,124199,149,129297,170,68,151,259,1.57
472,Федеральная служба государственной статистики,62012,536,67367,570,81391,549,97394,418,100874,387,111265,391,119422,382,125804,366,133991,357,68,116,84,1.83
473,Федеральная служба по экологическому, технологическому и атомному надзору ,-1,-1,234519,4,31782,6419,197338,69,160314,93,175125,91,183618,83,184736,73,179997,81,35,466,-33,0.81
474,Федеральная служба в сфере защиты прав потребителей и благополучия человека,63300,384,61831,381,103066,411,120863,416,113405,435,122118,419,120693,438,127123,403,143007,388,68,125,127,1.49
476,Федеральная служба по финансовым рынкам,53455,259,68259,221,372647,9,-1,-1,391456,1,-1,-1,-1,-1,404452,1,363402,1,23,597,113,1.91
477,Федеральная служба по надзору в сфере транспорта,38073,655,55420,259,51872,576,77397,319,71467,320,78902,316,82964,259,86153,277,92500,294,68,142,71,2.0
478,Федеральная служба государственной регистрации, кадастра и картографии ,73739,267,69357,251,114337,247,128029,268,109009,484,120365,459,130881,456,138863,456,154324,436,68,109,181,3.03
479,Федеральное Казначейство,54144,339,58028,552,71680,604,142685,121,170642,137,173512,154,214385,125,246042,115,275413,98,68,408,152,3.43
480,Федеральная служба финансово-бюджетного надзора,47486,202,-1,-1,121356,44,193531,34,185400,16,-1,-1,-1,-1,-1,-1,-1,-1,46,290,24,5.67
481,Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций ,-1,-1,-1,-1,77163,146,107155,80,88934,71,97599,191,96684,184,99484,194,116149,175,35,50,68,1.83
483,Федеральная служба по ветеринарному и фитосанитарному надзору ,-1,-1,-1,-1,80143,731,93831,245,88908,234,108125,236,121816,318,126019,314,122736,195,35,53,-27,2.37
486,Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству,136862,4,113444,3,158999,4,210473,4,156138,3,214376,4,90297,43,104091,57,124381,42,10,37,30,1.15
487,Федеральная служба по военно-техническому сотрудничеству,83145,71,94208,70,122044,59,140498,54,-1,-1,131946,46,131882,47,146384,49,132213,52,68,59,46,1.35
488,Федеральная служба по оборонному заказу ,49799,96,63363,141,68454,152,-1,-1,41363,61,-1,-1,-1,-1,-1,-1,-1,-1,46,-16,-31,1.41
489,Федеральная служба по техническому и экспортному контролю,69727,67,79045,95,129162,86,140840,99,128648,85,118191,90,118254,88,127649,114,129133,117,68,85,154,1.51
490,Федеральное агентство по поставкам вооружения, военной, специальной техники и материальных средств ,84873,256,91033,292,86211,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,1,27,4.55
491,Федеральное агентство специального строительства ,-1,-1,100340,129,119936,112,191968,63,165946,62,-1,-1,-1,-1,-1,-1,-1,-1,31,65,5,2.55
492,Государственная фельдъегерская служба ,47044,440,46219,872,103448,294,103395,220,97425,300,99224,214,101054,545,105343,270,108494,262,68,130,99,1.57
494,Федеральная служба охраны,-1,-1,-1,-1,-1,-1,349977,3,339789,3,363031,4,187897,8,210258,12,190276,10,10,1,63,4.67
496,Федеральная служба по труду и занятости,57384,124,54450,96,66666,109,80127,128,77741,135,80829,123,84472,122,-1,-1,-1,-1,52,47,46,1.36
497,Федеральное медико-биологическое агентство,51846,281,62296,187,116767,1062,114801,1146,104296,371,114490,328,117825,333,126377,325,132218,324,68,155,173,0.88
498,Федеральное архивное агентство,82831,5,87625,1,141691,18,164030,36,112719,104,143730,29,130524,34,138098,32,150001,34,35,5,45,1.5
499,Федеральная служба по интеллектуальной собственности,221219,1,68900,44,124359,39,160217,33,175714,31,129834,28,146377,29,149541,40,162760,30,51,136,97,1.18
