1,Санкт-Петербург,102627,54951,1.87,11217,5398064,481,2920
3,Республика Адыгея,57128,26181,2.18,1509,463088,306,2877
4,Республика Башкортостан,63348,32705,1.94,8868,4038151,455,2277
5,Республика Бурятия,69952,33870,2.07,2178,985937,452,2349
6,Республика Алтай,62264,26902,2.31,1394,220181,157,5856
8,Республика Ингушетия,54852,21445,2.56,1036,507061,489,1701
9,Кабардино-Балкарская Республика,49471,21529,2.3,1684,868350,515,1552
11,Карачаево-Черкесская республика,51772,22417,2.31,1231,465528,378,2228
12,Республика Карелия,85832,37733,2.27,2595,614064,236,5179
13,Республика Коми,84866,45589,1.86,2972,820473,276,4461
17,Республика Северная Осетия — Алания,41516,22376,1.86,2328,696837,299,2154
18,Республика Татарстан,54809,33653,1.63,9233,3902888,422,2096
20,Удмуртская республика,49836,29914,1.67,2813,1500955,533,1480
21,Республика Хакасия,65299,33362,1.96,1642,534262,325,3080
24,Алтайский край,49159,26019,1.89,7370,2317153,314,2391
27,Краснодарский край,60327,31895,1.89,17130,5675462,331,2795
28,Красноярский край,82842,41879,1.98,10948,2866255,261,4686
29,Пермский край,61506,34173,1.8,9582,2599260,271,3683
32,Хабаровский край,101238,46706,2.17,3820,1315643,344,4250
33,Амурская область,70343,45266,1.55,3865,790044,204,4982
35,Брянская область,56396,26722,2.11,4143,1192491,287,3004
36,Владимирская область,60880,30642,1.99,3086,1358416,440,2077
37,Архангельская область,144353,44906,3.21,707,1092424,1545,1223
38,Астраханская область,55321,28440,1.95,2775,1005782,362,2292
41,Волгоградская область,53410,28777,1.86,5882,2491036,423,2061
42,Вологодская область,63886,35941,1.78,4566,1160445,254,3743
43,Воронежская область,61788,30588,2.02,5765,2324205,403,2531
44,Забайкальский край,66644,36504,1.83,3627,1059700,292,3524
45,Иркутская область,75998,41146,1.85,7052,2391193,339,3278
46,Калининградская область,66679,33459,1.99,3462,1012512,292,3399
47,Республика Калмыкия,50177,23995,2.09,1647,271135,164,5195
48,Камчатский край,130036,67111,1.94,1994,313016,156,11010
50,Кемеровская область,64056,36711,1.74,3210,2657854,827,1178
51,Кировская область,48091,27381,1.76,5455,1262402,231,3366
53,Костромская область,46768,26833,1.74,2897,633385,218,3402
55,Курская область,48868,29244,1.67,6992,1104008,157,4923
56,Ленинградская область,83841,44560,1.88,5449,1875872,344,3393
57,Липецкая область,59642,31038,1.92,3723,1139371,306,3003
58,Магаданская область,124790,75208,1.66,1155,140149,121,13973
59,Республика Дагестан,48968,21748,2.25,2588,3110858,1202,630
61,Республика Марий Эл,56147,25950,2.16,1620,679417,419,2279
62,Республика Мордовия,48486,26395,1.84,2845,790197,277,2951
63,Москва,142966,70916,2.02,13859,12678079,914,2103
64,Московская область,96074,48208,1.99,7972,7690863,964,1404
65,Мурманская область,101564,54292,1.87,3094,741404,239,5836
66,Нижегородская область,66868,33285,2.01,9385,3202946,341,3042
67,Новгородская область,58760,30997,1.9,2735,596508,218,4170
68,Новосибирская область,63243,35217,1.8,9183,2798170,304,3287
69,Омская область,54807,29524,1.86,5816,1926665,331,2633
70,Орловская область,51867,25558,2.03,2257,733498,324,2491
72,Пензенская область,62324,27752,2.25,2711,1305563,481,1994
74,Приморский край,78003,43936,1.78,5125,1895868,369,3096
75,Псковская область,58338,26251,2.22,2931,626115,213,4161
76,Ростовская область,54583,29930,1.82,11731,4197821,357,2349
77,Самарская область,59291,32658,1.82,8238,3179532,385,2395
79,Саратовская область,66125,27134,2.44,2182,2421895,1109,1021
80,Свердловская область,73137,37226,1.96,9285,4310681,464,2337
81,Ставропольский край,56221,26526,2.12,9007,2803573,311,2817
82,Тамбовская область,45699,26294,1.74,3903,1006748,257,2916
84,Тульская область,57298,34176,1.68,6016,1466127,243,3667
85,Республика Тува (Тыва),71439,29823,2.4,875,327383,374,2896
86,Тюменская область,144820,52667,2.75,3678,3756536,1021,1900
88,Ульяновская область,54975,27848,1.97,2963,1229824,415,2130
89,Челябинская область,63636,33676,1.89,7490,3466369,462,2091
90,Чеченская республика,53701,23668,2.27,2266,1478726,652,1294
91,Чувашская республика - Чувашия,39331,26599,1.48,3744,1217818,325,1919
92,Республика Саха (Якутия),110021,59847,1.84,3345,971996,290,5413
93,Еврейская автономная область,76829,37120,2.07,1051,158305,150,7703
94,Сахалинская область,135222,67143,2.01,2934,488257,166,11080
95,Чукотский автономный округ,151598,86351,1.76,473,50288,106,18957
96,Белгородская область,60276,32569,1.85,6696,1549151,231,3928
97,Калужская область,61812,36263,1.7,3891,1002575,257,3617
98,Курганская область,50777,26738,1.9,2711,827166,305,2603
99,Ивановская область,57448,25230,2.28,2725,997135,365,2581
100,Смоленская область,46824,27904,1.68,3632,934889,257,3012
101,Тверская область,63272,30531,2.07,4278,1260379,294,3150
103,Рязанская область,58778,30795,1.91,4331,1108847,256,3287
105,Оренбургская область,57598,29682,1.94,4261,1956835,459,1997
106,Томская область,73244,36391,2.01,2983,1079271,361,3076
107,Ярославская область,52501,32081,1.64,4405,1253389,284,2702
109,Республика Крым,56422,27685,2.04,4651,1912622,411,2073
110,Севастополь,64097,32743,1.96,1718,449138,261,3676
