Id	Name	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
1	Законодательное собрание Санкт-Петербурга	2446245.5	48	2478823.0	64	2530098	45	2666535	43	2714725	71	6,27	16	10	0,71	170
2	Санкт-Петербургская избирательная комиссия	1791561	23	1535794.0	32	-1	0	2094964.5	28	2273727	33	5,25	16	26	-0,33	43
3	Центральная избирательная комиссия	1972224.0	86	1930889.5	80	2205877	77	2117276	77	2423996	85	5,6	16	22	3,25	251
4	Министерство внутренних дел	1641637.0	324	1768400.0	670	1807385	409	-1	0	-1	0	4,53	7	10	2,67	529
5	Совет Федерации	4906343.0	132	4625986.0	278	5111821	123	4793474.5	228	4947929	207	11,43	16	0	1,5	412
10	Прокуратура Республики Алтай	2029397	15	1985499.5	14	1820095	15	2579717	15	2668780.5	14	6,17	16	31	3,0	51
14	Государственная Дума	3849415.0	982	4564788	781	4738017	617	5121569.5	558	5038973	597	11,64	16	30	1,0	1939
15	Счетная палата	2400725.0	806	2419733.5	794	2489302.5	804	2713537.0	832	2790232.0	876	6,45	16	16	1,25	2773
18	Прокуратура Брянской области	1339183	39	1383082	39	1503753.5	36	1856973.5	38	-1	0	4,38	14	38	3,0	98
19	Прокуратура Владимирской области	1368755.5	20	1392907.0	24	1536164	23	1956158	43	-1	0	4,61	14	42	2,0	62
20	Прокуратура Алтайского края	1105103.0	178	1173505.5	172	1314378.0	174	1548309	169	-1	0	3,65	14	40	2,67	461
21	Прокуратура Амурской области	2068702	29	1938609.5	30	2187509.5	32	2634699	27	-1	0	6,21	14	27	3,25	61
22	Прокуратура Архангельской области	2271841	27	2259323.5	30	2457019	29	3031005.5	30	-1	0	7,15	14	33	2,46	78
23	Прокуратура Астраханской области	1416279.5	22	1489109.5	20	1571172.0	22	1845493	27	-1	0	4,35	14	30	1,67	56
24	Прокуратура Республики Башкортостан	1167200.5	168	1164592.0	168	1213489.0	172	1613950	171	1672340	171	3,86	16	43	3,0	614
25	Прокуратура Республики Бурятия	2010303.0	28	2112748.5	26	2147368.5	28	2757458.5	30	2907364	27	6,72	16	44	3,0	90
26	Прокуратура Волгоградской области	1321360	51	1295093	45	1353689	47	1785651	49	1887659	47	4,36	16	42	2,0	171
27	Прокуратура Вологодской области	1524447	29	1496749	29	-1	0	-1	0	2083034.5	30	4,81	16	36	0,0	26
28	Прокуратура Воронежской области	1279774.5	44	1441721	47	1443362.5	44	1748567.0	44	1882490	43	4,35	16	47	2,5	157
29	Прокуратура Забайкальского края	2034176.0	40	2062074	39	2162418.5	36	-1	0	2723437	69	6,29	16	33	1,75	63
30	Прокуратура Иркутской области	2084063	53	2137167.5	46	2377814.5	46	2937814	47	-1	0	6,93	14	40	2,5	122
31	Прокуратура Калининградской области	1231407	23	1367897	27	1538043	23	1880880	21	1839616	23	4,25	16	49	2,25	76
32	Прокуратура Республики Калмыкия	1403542.5	16	1411516.0	16	1650100.5	14	1884695	17	2281411	15	5,27	16	62	3,92	48
33	Прокуратура Камчатского края	3338730.0	14	3327839.0	16	3803017.0	14	4415736	13	4742196	13	10,96	16	42	2,5	42
35	Прокуратура Карачаево-Черкесской республики	1822930	17	1874166	13	1986377	25	2540581	21	2617929	15	6,05	16	43	3,0	43
36	Прокуратура Кемеровской области	1795886	51	1864804	49	2048492.5	46	2454254.5	48	-1	0	5,79	14	36	2,25	128
37	Прокуратура Кировской области	1453670	47	1460622	51	1463685.5	48	1830597.0	48	1882025	47	4,35	16	29	2,25	169
38	Прокуратура Республики Коми	2410736	29	2570389.5	28	2650866.5	28	3246561.5	30	-1	0	7,66	14	34	2,75	69
39	Прокуратура Костромской области	1204144.5	28	1246356	35	1317816.5	32	1566170	31	-1	0	3,69	14	30	3,0	78
40	Прокуратура Красноярского края	2027725	67	2027584.0	68	2271355	63	2785977.5	60	2788903	61	6,44	16	37	3,0	218
41	Прокуратура Курской области	1262014.5	36	1280000	37	1304691.5	36	1693411	35	1819006	33	4,2	16	44	2,83	125
42	Прокуратура Ленинградской области	1494276	21	1293422.0	22	1353925	21	1689061	21	-1	0	3,98	14	13	3,33	54
43	Прокуратура Липецкой области	1339247	23	1320023.5	26	1457973.0	28	1851085.0	28	1904687.5	28	4,4	16	42	2,5	93
44	Прокуратура Магаданской области	2441415	27	2540769	27	2665721	25	3481418	21	4571982	7	10,56	16	87	3,83	63
46	Прокуратура Краснодарского края	1316839	59	1341168	51	1485203	55	1841892	47	-1	0	4,34	14	39	2,25	119
47	Прокуратура Республики Марий Эл	1165276.0	16	1212420.0	22	1369845.5	16	1759092.5	20	1854311.5	20	4,28	16	59	2,0	64
48	Прокуратура Республики Мордовия	1298987	27	1319282	27	1475860	29	1803349	29	1884657.0	26	4,35	16	45	3,0	97
49	Прокуратура города Москвы	1509429.0	50	1509037.0	48	1695919	47	2098619	129	2704824.0	366	6,25	16	79	3,0	228
50	Прокуратура Московской области	1480680	53	1288695	99	1363876.0	100	1706265	99	2025486	49	4,68	16	36	2,42	248
51	Прокуратура Мурманской области	3065404	21	3132960.0	24	3367392.5	30	4082896.5	18	-1	0	9,63	14	33	2,25	46
52	Прокуратура Нижегородской области	1255519	61	1328391.5	58	1406600.5	62	1743219	65	1922908.0	60	4,44	16	53	2,83	204
53	Прокуратура Новгородской области	1228294.5	24	1315149.0	34	1279809.0	24	1599852	21	1846879	21	4,27	16	50	3,67	70
54	Прокуратура Новосибирской области	1586534.0	54	1616690	51	1629485	51	2129256.5	44	2180993	49	5,04	16	37	2,67	176
55	Прокуратура Омской области	1380066	43	1389421.0	42	1554049	43	1832972.5	38	2151319.5	40	4,97	16	55	2,0	150
56	Прокуратура Орловской области	1224971.0	30	1263674	29	1322032.0	26	1683835.5	26	1737803.0	28	4,01	16	41	3,0	91
57	Прокуратура Пензенской области	1237782	35	1192651.5	30	1371062	35	1619690	47	1791393.5	30	4,14	16	44	3,12	108
60	Прокуратура Пермского края	1543101.5	64	1555140.0	62	1694221	61	2099122	59	-1	0	4,95	14	36	3,0	167
61	Прокуратура Приморского края	1999672	37	1982606	37	2139049	35	2631811	35	2783043.5	34	6,43	16	39	3,0	115
62	Прокуратура Псковской области	1279321	29	1264953.5	26	1257360	29	1645254.5	28	-1	0	3,88	14	28	2,0	71
63	Прокуратура Ростовской области	1287613	67	1329975.5	66	1474288	65	1756621.0	66	-1	0	4,14	14	36	2,67	180
64	Прокуратура Самарской области	1315308.0	52	1300343.0	50	1539298.0	50	1813767.5	48	1937878	47	4,48	16	47	3,0	151
65	Прокуратура города Санкт-Петербурга	1566050.5	24	1565929.0	22	1770328	25	2126917	25	2133674	23	4,93	16	36	2,5	87
66	Прокуратура Саратовской области	1282283	51	1297668	47	1394454	51	1797581	45	1860374	45	4,3	16	45	2,79	160
67	Прокуратура Свердловской области	1570949	69	1643995	67	1838582	69	2136232.5	68	-1	0	5,04	14	35	2,33	187
68	Прокуратура Ставропольского края	-1	0	1397912.0	52	1522294.5	40	1838483.0	42	2009315	39	4,64	13	43	3,0	109
69	Прокуратура Тамбовской области	1361239.0	32	1387713	31	1526796.0	32	1863574	29	1910193	31	4,41	16	40	2,33	109
70	Прокуратура Республики Татарстан	1437243	61	1458762.0	96	1533617.0	50	-1	0	-1	0	3,84	7	6	1,5	93
71	Прокуратура Тульской области	1296915	37	1296611	37	1333453	37	1684630.0	36	1928686.0	36	4,46	16	48	2,83	127
