Id	Name	2011	|2011|	2012	|2012|	2013	|2013|	2014	|2014|	2015	|2015|	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
1	Законодательное собрание Санкт-Петербурга	1473956.5	78	1759399.5	74	1931087	99	2155182	93	2163229.0	94	2446245.5	48	2478823.0	64	2530098	45	2666535	43	2714725	71	6,27	73	84	1,09	481
2	Санкт-Петербургская избирательная комиссия	-1	0	-1	0	1403477.5	54	1697011	59	1824822	7	1791561	23	1535794.0	32	-1	0	2094964.5	28	2273727	33	5,25	40	62	3,08	96
3	Центральная избирательная комиссия	2981949.0	14	2977218	31	1794112	95	2090273	101	1796448	97	1972224.0	86	1930889.5	80	2205877	77	2117276	77	2423996	85	5,6	73	-18	2,0	505
4	Министерство внутренних дел	1211811.5	1038	2141146.5	1054	2140802	435	2315790	637	2055742	205	1648466	325	1768400.0	670	1808731.0	410	-1	0	-1	0	4,53	60	49	3,55	2047
5	Совет Федерации	2195450	115	1999774.0	392	2476800	273	4171501.5	134	4972162.0	122	4906343.0	132	4625986.0	278	5111821	123	4793474.5	228	4947929	207	11,43	73	125	1,83	991
7	Федеральная миграционная служба	869175.5	456	928807.5	402	1247168.5	382	1323522.0	412	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	4,02	31	52	1,36	897
8	Прокуратуры субъектов	1302584.0	168	1369497	173	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	4,91	11	5	0,36	147
10	Прокуратура Республики Алтай	924248	43	1002485.5	66	1318339.5	62	1769150	47	1412133.5	82	1484720	105	1570529.0	68	2181052.0	22	2056204	443	2141078.5	1338	4,95	73	131	2,85	594
14	Государственная Дума	1992503	371	2233358.0	366	2697546.5	372	4067077.0	362	640862	3869	3849415	983	4564685	781	4736578	617	5126189	559	5008716	605	11,57	73	151	1,7	3411
15	Счетная палата	1206707.5	770	1248437	1089	1492423.5	660	2028192.0	826	2480676	793	2400725.0	806	2419733.5	794	2489302.5	804	2713537.0	832	2790232.0	876	6,45	73	131	1,5	5785
18	Прокуратура Брянской области	900700	39	907310.5	40	1115226.0	40	1576298	39	1386873.0	38	1339183	39	1383082	39	1503753.5	36	1856973.5	38	1923112.0	66	4,44	73	113	2,0	314
19	Прокуратура Владимирской области	960728	23	959819.0	22	1015739.0	22	991864.0	22	1496017	45	1368755.5	20	1392907.0	24	1536164	23	1956158	43	1992732	21	4,6	73	107	0,75	181
20	Прокуратура Алтайского края	719236	177	751882.5	174	1014569.5	176	1356200.5	174	1111234.0	182	1105063	179	1173505.5	172	1314378.0	174	1548309	169	-1	0	3,65	70	115	2,0	1264
21	Прокуратура Амурской области	-1	0	1310016	27	1607358	27	2192259	29	2051439	31	2064011.0	28	1938609.5	30	2187509.5	32	2634699	27	-1	0	6,21	52	101	2,0	159
22	Прокуратура Архангельской области	1326501.0	32	1402096.0	30	1828554	27	2441861	25	2205504	29	2271841	27	2259323.5	30	2457019	29	3031005.5	30	-1	0	7,15	70	128	2,0	194
23	Прокуратура Астраханской области	831529.0	22	819367.5	22	1123768	23	1556730	23	1469560.5	22	1416279.5	22	1489109.5	20	1571172.0	22	1845493	27	-1	0	4,35	70	121	1,38	158
24	Прокуратура Республики Башкортостан	737418.0	186	750409.0	192	997652.5	192	1204862.0	192	1208850.0	162	1167200.5	168	1164592.0	168	1213489.0	172	1613950	171	1672340	171	3,86	73	126	2,0	1416
25	Прокуратура Республики Бурятия	1182841	27	1181250.0	28	1623299	27	2172551	31	1971055	31	2010303.0	28	2112748.5	26	2147368.5	28	2757458.5	28	-1	0	6,5	70	133	2,0	195
26	Прокуратура Волгоградской области	737511.0	48	824230.0	48	1211418.0	8	1444172.0	46	1252458	53	1321360	51	1295093	45	1353689	47	1785651	49	1887659	47	4,36	73	155	1,0	313
27	Прокуратура Вологодской области	1034309.5	30	935103.0	26	1294984	31	1833282	29	1598842	31	1524447	29	1496749	29	-1	0	-1	0	2083034.5	30	4,81	73	101	0,33	151
28	Прокуратура Воронежской области	749310.5	46	752623.5	48	1078796.5	48	1380701	47	1260229.0	52	1279774.5	44	1441721	47	1443362.5	44	1748567.0	44	1882490	43	4,35	73	151	1,75	378
29	Прокуратура Забайкальского края	-1	0	1212272	39	1520028.5	38	2178636	37	1917181	39	2034176.0	40	2062074	39	2162418.5	36	-1	0	2723437	69	6,29	55	124	2,4	199
30	Прокуратура Иркутской области	1035299	183	1135629.5	178	1712570.0	52	2279129.0	58	2074288.0	56	2084063	53	2137167.5	46	2377814.5	46	2937814	47	-1	0	6,93	70	183	1,0	476
31	Прокуратура Калининградской области	-1	0	-1	0	931662	49	1382511	23	1221153.5	24	1231407	23	1367897	27	1538043	23	1880880	21	-1	0	4,44	37	101	2,21	122
32	Прокуратура Республики Калмыкия	832168.0	16	860644	17	1104991	17	1618775.0	16	1501119.0	16	1403542.5	16	1411516.0	16	1650100.5	14	1884695	17	-1	0	4,44	70	126	2,0	109
33	Прокуратура Камчатского края	1961926	15	2209593	15	2654236.0	16	3473492	15	3419374.0	16	3338730.0	14	3327839.0	16	3803017.0	14	4415736	13	-1	0	10,41	70	125	2,0	99
