Id	Name	2011	|2011|	2012	|2012|	2013	|2013|	2014	|2014|	2015	|2015|	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
9	Законодательная власть	1131026.0	2852	1318738	5289	1390953	5473	1587718	6667	939612	12891	1451125	7443	1485574	7077	1259632.5	9236	1572227	7353	1516834.5	6060	3,5	73	34	1,3	38241
8	Избиркомы	643993	715	780121.0	1760	906466.0	2006	919768	2273	882555	2447	982601	2619	867726.0	2738	1071640	2529	1005473.0	2318	1170179	2713	2,7	73	81	1,55	14488
5	Cиловики	402899.0	31976	400320.5	32056	761368.5	15266	1321749	8983	1580242.5	3912	1528250	4035	1476600.0	4300	1490392	3857	1620803.5	3056	1316390.5	2062	3,04	73	226	1,45	41678
7	Прокуратура	923140	3521	967188.0	3910	1189886	3681	1655909	3351	1475692	3601	1499310	3561	1563651.5	3574	1727906.0	3412	2035095.5	3800	2126299.0	2656	4,91	73	130	2,0	24384
19	Исполнительная власть	374448	174961	429401	221591	529008	230355	697134	162839	707938.5	163842	730123.5	156810	727302	176149	788096	178753	872890.5	168514	972525.5	133600	2,25	73	159	1,4	963144
20	Остальные	541876.5	8438	635866.5	16872	626827	30103	668303	28723	683999.0	29036	729348.5	37404	803543.0	31916	849405.5	29864	901928	29875	996649	26009	2,3	73	83	1,33	145080
4	Военные	-1	0	966010.0	45082	1185139.5	17736	1137850	29655	1149147.5	29924	1202113.5	31410	1297959.0	27562	1366678	5725	1394561	19663	1416383	26163	3,27	55	46	0,67	73272
11	Налоги	345999	107163	367948.5	101582	422675.5	101266	482609	115945	1125002.5	3734	1294518.0	4196	1329452	4203	1399842.5	4228	1618185	4125	1692813.5	3508	3,91	73	389	1,6	243286
10	ФСИН	355456	70813	388361	83941	803114	16305	1107139	7635	996288.0	7618	1028369.0	7354	1042189	7451	1079304.0	7084	1094225	7079	1149812.5	7010	2,66	73	223	1,09	90681
6	Здравоохранение	440036	2361	691369	4049	792254.0	6976	972450.5	6990	857099	8125	943662.0	8706	978743	10609	1075872	10985	1273548.0	8624	1336162.0	6926	3,09	73	203	1,55	40780
3	Образование	523871	1171	658578.0	3190	1264874.0	5736	1184424.5	6178	1092896.0	5706	1212188	7587	1327952	7823	1137053	7527	1207109.0	7884	1244428.5	5572	2,87	73	137	1,0	28602
1	Суды	350357	19111	366766	26933	389181	32439	438420.0	38098	448991.5	44220	490792.0	44696	505494.5	44866	541178.5	43484	627581	43647	645674	43787	1,49	73	84	1,91	210286
2	Муниципалитеты	340379.0	48678	396586.5	136954	439327.0	174980	487281	195255	491316	250573	511143	263727	526193	281483	568920.5	289480	628363	249217	690826	200257	1,6	73	102	1,45	1266066
None	остальное	-1	0	-1	0	323241	7	317286	75	420642	93	515598.5	114	420340	289	466009	165	632920	33	557098	155	1,29	40	72	2,25	412
