Id	Name	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
9	Законодательная власть	1701407	6617	1685165	6425	1433389	8337	1764192	6663	1722425	5403	3,98	16	1	1,5	17883
8	Избиркомы	982601	2607	869209.0	2686	1070537	2471	1000391	2309	1175157.5	2666	2,71	16	19	2,0	7854
5	Cиловики	1387693.5	3538	1474564	4303	1489270	3855	1433210	2689	1368114	2027	3,16	16	-1	1,75	8056
7	Прокуратура	1521817	3379	1558642	3519	1718576.5	3388	2063583.5	3430	2177254	2325	5,03	16	43	2,5	10043
19	Исполнительная власть	772209.5	142624	765460.0	161002	831632	163629	913192.5	156196	1033087	119439	2,39	16	33	2,0	395764
20	Остальные	731172	34459	812311	28021	861656	26325	909631	25757	978412.5	20874	2,26	16	33	1,67	67857
4	Военные	1202113.5	31408	1298070	27559	1366678	5725	1394932	19659	1416415.0	26156	3,27	16	17	1,0	33553
11	Налоги	1294276	4195	1329326.0	4202	1399165.0	4226	1618185	4123	1692813.5	3506	3,91	16	30	2,0	13744
10	ФСИН	1028484	7353	1042189	7451	1079304.0	7084	1094093.0	7078	1149621.5	7008	2,66	16	11	1,0	22906
6	Здравоохранение	944990.5	8436	979192	10359	1075086	10709	1285663	8217	1330764.0	6594	3,07	16	40	2,25	23055
3	Образование	1260979.0	7706	1410106.5	8020	1200215	7655	1238361	7713	1271994.0	5442	2,94	16	0	1,25	17241
1	Суды	490224.5	46562	503663.5	46798	538273	44289	626420.5	44860	646757	43791	1,49	16	31	2,0	123239
2	Муниципалитеты	514246	262155	529658.0	278822	573769.5	286614	632413	248037	694859.5	197684	1,61	16	35	1,67	700626
None	остальное	539352.0	96	425302.0	272	470816	151	803926	25	561777.0	148	1,3	16	4	1,33	221
